id;sold_price;basketball;weekday;rolling_supply_estimate;bitcoin_closing_price;ethereum_closing_price;seller;seller_feedback_score;card_listing_format_buy_it_now;active_player;card_id;card_grade
2065;107.5;0;Monday;#N/A;54529.15;1691.33;probstein123;828207;0;0;paul casanova-1969-0;7
2066;71;0;Sunday;#N/A;57523.42;1788.22;jfkv63;3694;0;0;nolan ryan-2003-0;#N/A
2067;37.99;0;Friday;#N/A;58346.65;1817.62;vbcardsandcollectibles;5343;1;1;pete alonso-2019-0;10
2068;56;0;Monday;91588;52246.52;1834.73;probstein123;827913;0;0;frank thomas-1995-0;10
2069;56;0;Monday;83903;54207.32;1781.99;probstein123;827746;0;1;yordan álvarez-2020-0;10
2070;62.77;0;Monday;#N/A;54529.15;1691.33;probstein123;828205;0;0;brooks robinson-1966-0;1
2071;290;0;Sunday;88599;45137.77;1416.05;camocouture;23107;0;0;tim salmon-1993-0;9
2072;53;0;Thursday;111744;57858.92;1782.86;btadams;718;0;0;lefty grove-1976-0;8
2073;750;0;Sunday;90105;51206.69;1723.15;nucci1973;2840;1;0;willie mays-1957-0;5
2074;799;1;Monday;#N/A;54529.15;1691.33;ctecmire;260;1;1;chris paul-2005-1;10
2075;80;1;Tuesday;67133;54824.12;1868.05;vinellamedia;400;0;1;rj barrett-2019-1;9
2076;1576;1;Monday;69723;47945.06;1779.79;probstein123;827675;0;1;lebron james-2012-1;10
2077;116.95;1;Monday;72460;54207.32;1781.99;stakeupdates1;820;1;1;lebron james-2019-1;10
2078;112.5;0;Sunday;84615;57539.94;1935.6;blaz-1563;303;0;0;ken griffey-1989-0;8
2079;1.75;0;Thursday;85953;47909.33;1783.8;burbanksportscards;349252;1;0;manny ramirez-1997-0;9
2080;8;0;Monday;70073;32366.39;1324.41;myohmy;1123;0;0;mike schmidt-1979-0;8
2081;7.99;0;Friday;76773;38144.31;1718.65;hornblendlifeofsmiles;578;0;0;bud harrelson-1975-0;8
2082;5.63;0;Monday;91588;52246.52;1834.73;sports-cards-forever;8594;0;0;wayne granger-1974-0;8
2083;29;1;Thursday;70072;57805.12;1826.19;tyi5173;12861;0;1;p.j. washington-2019-1;9
2084;36;1;Wednesday;75114;52149.01;1848.46;probstein123;827701;0;1;coby white-2019-1;9
2085;46;1;Monday;62161;33537.18;1369.04;probstein123;827391;0;1;ben simmons-2016-1;10
2086;5.99;0;Wednesday;110923;58870.89;1823.45;mundrays2005;14786;0;1;bryce harper-2020-0;10
2087;2.95;1;Tuesday;67133;54824.12;1868.05;northviewcats;7053;1;0;keith erickson-1971-1;5
2088;45;0;Sunday;82282;48717.29;1805.08;pwcc_auctions;277632;0;0;bill mazeroski-1968-0;8
2089;1.49;0;Thursday;104828;57805.12;1826.19;ultimatecardsandcoins;27559;1;0;mike piazza-1996-0;9
2090;46;1;Tuesday;57454;36069.81;1377.3;sportcardauctionscom;82313;0;1;zion williamson-2019-1;9
2091;124.5;0;Monday;105296;55907.2;1791.7;probstein123;828099;0;1;rafael devers-2018-0;9.5
2092;623;1;Sunday;73250;57539.94;1935.6;r.o.b.;9791;0;1;zion williamson-2019-1;10
2093;48.75;1;Friday;68177;38144.31;1718.65;joesvintagesportscardsii;26754;1;0;kobe bryant-1999-1;9
2094;314.71;1;Wednesday;68454;44918.18;1744.24;forsyth760cards;785;0;1;kyrie irving-2012-1;9
2095;23.96;0;Monday;70073;32366.39;1324.41;konksplatt;26989;1;0;roberto clemente-1967-0;6
2096;299;0;Friday;74852;34316.39;1382.52;rmensch1818;264;1;1;juan soto-2018-0;10
2097;195.5;0;Tuesday;109699;56804.9;1806.97;pwcc_auctions;277894;0;0;eddie murray-1978-0;8
2098;100;1;Thursday;73015;47093.85;1475.7;bestsportscardsandcollectables;21371;1;0;al wood-1986-1;9
2099;9.99;0;Sunday;88599;45137.77;1416.05;sportsage.sales;390;0;0;carl hubbell-1984-0;3.5
2100;41;1;Monday;62161;33537.18;1369.04;kingdom.of.cards;204;0;1;luka dončić-2019-1;9
2101;122.5;1;Thursday;75581;57858.92;1782.86;probstein123;828157;0;0;kobe bryant-2000-1;10
2102;18.5;1;Saturday;#N/A;58313.64;1812.63;704crew;131;0;1;lonzo ball-2017-1;9
2103;8.99;0;Sunday;73919;38903.44;1614.23;just-baseball;2702;0;0;rafael palmeiro-1987-0;9
2104;65.77;1;Sunday;73250;57539.94;1935.6;dc_cards6;130;0;1;rui hachimura-2019-1;10
2105;14.99;0;Wednesday;75047;30432.55;1253.19;larej;16848;1;1;gary sanchez-2010-0;9
2106;194.23;1;Sunday;60754;33114.36;1314.99;legendaryairness;6135;1;0;michael jordan-1998-1;10
2107;395;1;Tuesday;74429;48824.43;1570.2;pwcc_auctions;277707;0;1;lebron james-2019-1;10
2108;270;1;Sunday;68013;59302.32;1854.56;nextgenerationmem;463;0;1;nassir little-2019-1;9.5
2109;27;0;Sunday;82282;48717.29;1805.08;sballocollection;3986;0;0;allie reynolds-1951-0;6.5
2110;100;0;Sunday;90105;51206.69;1723.15;crisnald0;355;1;1;fernando tatis-2018-0;10
2111;29;0;Friday;74852;34316.39;1382.52;roundball07;754;1;0;derek jeter-1992-0;9
2112;2.5;1;Sunday;73250;57539.94;1935.6;gamesandcards.com;123626;1;1;bradley beal-2019-1;9
2113;60;0;Saturday;68181;32067.64;1230.99;pwcc_vault;7892;1;0;will clark-1987-0;10
2114;80;0;Thursday;95629;48561.17;1541.91;bible731;7816;1;0;roberto clemente-1962-0;7
2115;361;1;Thursday;73015;47093.85;1475.7;probstein123;827754;0;0;allen iverson-1996-1;10
2116;52;0;Thursday;104828;57805.12;1826.19;sandlot_sportsnj;578;0;0;barry bonds-1987-0;9
2117;0.99;0;Friday;96001;48927.3;1533.27;burbanksportscards;349336;1;1;francisco lindor-2020-0;9
2118;29.99;0;Saturday;#N/A;58313.64;1812.63;crai146;19;1;1;nick senzel-2019-0;10
2119;23.5;0;Sunday;82282;48717.29;1805.08;nowselling2112;6186;0;0;frank thomas-1990-0;7
2120;17;1;Monday;63975;52246.52;1834.73;mikee_94596;20561;1;1;klay thompson-2015-1;10
2121;22.5;0;Thursday;67641;30825.7;1121.57;brburd18;72;0;0;greg maddux-2000-0;10
2122;145;1;Saturday;#N/A;36178.14;1233.54;murrayc1;4622;1;0;karl malone-1986-1;7.5
2123;74.99;0;Wednesday;75047;30432.55;1253.19;knowxcuse;2082;1;0;don drysdale-1960-0;7
2124;13.5;1;Sunday;#N/A;57523.42;1788.22;the-kings-cards;2529;0;1;bruno fernando-2019-1;8
2125;13.5;0;Friday;96001;48927.3;1533.27;mea-344;461;0;1;fernando tatis-2019-0;9
2126;260;0;Thursday;92546;47093.85;1475.7;footballfanatic1970;1781;0;0;nolan ryan-1972-0;8
2127;225;1;Monday;63975;52246.52;1834.73;nightwatch216;136;1;0;michael jordan-1992-1;10
2128;0.99;1;Friday;61467;33005.76;1236.51;burbanksportscards;349168;1;0;jalen rose-1998-1;9
2129;14.5;1;Thursday;70072;57805.12;1826.19;bsel37;18;0;1;ja morant-2019-1;10
2130;599.99;0;Sunday;#N/A;35791.28;1230.17;divc03;474;1;1;fernando tatis-2019-0;10
2131;760.03;1;Wednesday;57988;35547.75;1382.27;pwcc_auctions;277401;0;1;luka dončić-2018-1;9
2132;40.65;1;Sunday;60754;33114.36;1314.99;bish_andrew;290;0;1;cam reddish-2019-1;10
2133;139.99;1;Monday;65248;46196.46;1746.62;cointable;8054;1;1;luka dončić-2019-1;10
